--- Query 1: Exercises ---
ID: 109 | Name: barbell curl | Key: barbell curl | Category: Arms
ID: 127 | Name: bench dip | Key: bench dip | Category: Arms
ID: 108 | Name: bicep curl | Key: bicep curl | Category: Arms
ID: 114 | Name: cable curl | Key: cable curl | Category: Arms
ID: 123 | Name: cable overhead extension | Key: cable overhead extension | Category: Arms
ID: 118 | Name: cable tricep pushdown | Key: cable tricep pushdown | Category: Arms
ID: 113 | Name: concentration curl | Key: concentration curl | Category: Arms
ID: 110 | Name: dumbbell curl | Key: dumbbell curl | Category: Arms
ID: 122 | Name: dumbbell overhead extension | Key: dumbbell overhead extension | Category: Arms
ID: 111 | Name: hammer curl | Key: hammer curl | Category: Arms
ID: 115 | Name: incline dumbbell curl | Key: incline dumbbell curl | Category: Arms
ID: 125 | Name: lying tricep extension | Key: lying tricep extension | Category: Arms
ID: 121 | Name: overhead tricep extension | Key: overhead tricep extension | Category: Arms
ID: 112 | Name: preacher curl | Key: preacher curl | Category: Arms
ID: 116 | Name: reverse curl | Key: reverse curl | Category: Arms
ID: 119 | Name: rope tricep pushdown | Key: rope tricep pushdown | Category: Arms
ID: 124 | Name: skull crusher | Key: skull crusher | Category: Arms
ID: 126 | Name: tricep dip | Key: tricep dip | Category: Arms
ID: 117 | Name: tricep pushdown | Key: tricep pushdown | Category: Arms
ID: 120 | Name: v-bar pushdown | Key: v bar pushdown | Category: Arms
ID: 75 | Name: back extension | Key: back extension | Category: Back
ID: 65 | Name: barbell row | Key: barbell row | Category: Back
ID: 64 | Name: bent over row | Key: bent over row | Category: Back
ID: 70 | Name: cable row | Key: cable row | Category: Back
ID: 56 | Name: chin-up | Key: chin up | Category: Back
ID: 62 | Name: close grip pulldown | Key: close grip pulldown | Category: Back
ID: 58 | Name: close grip pull-up | Key: close grip pull up | Category: Back
ID: 79 | Name: dumbbell reverse fly | Key: dumbbell reverse fly | Category: Back
ID: 66 | Name: dumbbell row | Key: dumbbell row | Category: Back
ID: 77 | Name: face pull | Key: face pull | Category: Back
ID: 74 | Name: hyperextension | Key: hyperextension | Category: Back
ID: 60 | Name: lat pulldown | Key: lat pulldown | Category: Back
ID: 71 | Name: machine row | Key: machine row | Category: Back
ID: 59 | Name: mixed grip pull-up | Key: mixed grip pull up | Category: Back
ID: 68 | Name: pendlay row | Key: pendlay row | Category: Back
ID: 55 | Name: pull-up | Key: pull up | Category: Back
ID: 80 | Name: renegade row | Key: renegade row | Category: Back
ID: 78 | Name: reverse fly | Key: reverse fly | Category: Back
ID: 63 | Name: reverse grip pulldown | Key: reverse grip pulldown | Category: Back
ID: 76 | Name: reverse hyper | Key: reverse hyper | Category: Back
ID: 69 | Name: seated row | Key: seated row | Category: Back
ID: 72 | Name: single arm row | Key: single arm row | Category: Back
ID: 73 | Name: snatch grip deadlift | Key: snatch grip deadlift | Category: Back
ID: 67 | Name: t-bar row | Key: t bar row | Category: Back
ID: 61 | Name: wide grip pulldown | Key: wide grip pulldown | Category: Back
ID: 57 | Name: wide grip pull-up | Key: wide grip pull up | Category: Back
ID: 199 | Name: archer pull-up | Key: archer pull up | Category: Calisthenics
ID: 203 | Name: archer push-up | Key: archer push up | Category: Calisthenics
ID: 208 | Name: back lever | Key: back lever | Category: Calisthenics
ID: 219 | Name: clapping pull-up | Key: clapping pull up | Category: Calisthenics
ID: 218 | Name: cossack squat | Key: cossack squat | Category: Calisthenics
ID: 202 | Name: diamond push-up | Key: diamond push up | Category: Calisthenics
ID: 200 | Name: false grip muscle up | Key: false grip muscle up | Category: Calisthenics
ID: 206 | Name: free handstand push-up | Key: free handstand push up | Category: Calisthenics
ID: 207 | Name: front lever | Key: front lever | Category: Calisthenics
ID: 211 | Name: full planche | Key: full planche | Category: Calisthenics
ID: 212 | Name: human flag | Key: human flag | Category: Calisthenics
ID: 201 | Name: korean dip | Key: korean dip | Category: Calisthenics
ID: 214 | Name: l-sit | Key: l sit | Category: Calisthenics
ID: 222 | Name: l-sit to v-sit | Key: l sit to v sit | Category: Calisthenics
ID: 221 | Name: one arm pull-up | Key: one arm pull up | Category: Calisthenics
ID: 220 | Name: one arm push-up | Key: one arm push up | Category: Calisthenics
ID: 204 | Name: pike push-up | Key: pike push up | Category: Calisthenics
ID: 216 | Name: pistol squat | Key: pistol squat | Category: Calisthenics
ID: 209 | Name: planche | Key: planche | Category: Calisthenics
ID: 217 | Name: shrimp squat | Key: shrimp squat | Category: Calisthenics
ID: 213 | Name: side flag | Key: side flag | Category: Calisthenics
ID: 210 | Name: straddle planche | Key: straddle planche | Category: Calisthenics
ID: 215 | Name: v-sit | Key: v sit | Category: Calisthenics
ID: 205 | Name: wall handstand push-up | Key: wall handstand push up | Category: Calisthenics
ID: 29 | Name: bench press | Key: bench press | Category: Chest
ID: 54 | Name: board press | Key: board press | Category: Chest
ID: 52 | Name: cable crossover | Key: cable crossover | Category: Chest
ID: 48 | Name: cable fly | Key: cable fly | Category: Chest
ID: 38 | Name: chest dips | Key: chest dip | Category: Chest
ID: 46 | Name: chest fly | Key: chest fly | Category: Chest
ID: 45 | Name: clapping push-up | Key: clapping push up | Category: Chest
ID: 36 | Name: close grip bench press | Key: close grip bench press | Category: Chest
ID: 43 | Name: close grip push-up | Key: close grip push up | Category: Chest
ID: 32 | Name: decline bench press | Key: decline bench press | Category: Chest
ID: 35 | Name: decline dumbbell press | Key: decline dumbbell press | Category: Chest
ID: 44 | Name: decline push-up | Key: decline push up | Category: Chest
ID: 37 | Name: dips | Key: dip | Category: Chest
ID: 33 | Name: dumbbell bench press | Key: dumbbell bench press | Category: Chest
ID: 47 | Name: dumbbell fly | Key: dumbbell fly | Category: Chest
ID: 51 | Name: dumbbell pullover | Key: dumbbell pullover | Category: Chest
ID: 30 | Name: flat bench press | Key: flat bench press | Category: Chest
ID: 53 | Name: floor press | Key: floor press | Category: Chest
ID: 31 | Name: incline bench press | Key: incline bench press | Category: Chest
ID: 34 | Name: incline dumbbell press | Key: incline dumbbell press | Category: Chest
ID: 50 | Name: incline fly | Key: incline fly | Category: Chest
ID: 39 | Name: parallel bar dips | Key: parallel bar dip | Category: Chest
ID: 49 | Name: pec deck | Key: pec deck | Category: Chest
ID: 41 | Name: push-up | Key: push up | Category: Chest
ID: 40 | Name: ring dips | Key: ring dip | Category: Chest
ID: 42 | Name: wide push-up | Key: wide push up | Category: Chest
ID: 149 | Name: ab wheel rollout | Key: ab wheel rollout | Category: Core
ID: 146 | Name: bird dog | Key: bird dog | Category: Core
ID: 150 | Name: cable crunch | Key: cable crunch | Category: Core
ID: 142 | Name: cable russian twist | Key: cable russian twist | Category: Core
ID: 132 | Name: crunch | Key: crunch | Category: Core
ID: 145 | Name: dead bug | Key: dead bug | Category: Core
ID: 152 | Name: dragon flag | Key: dragon flag | Category: Core
ID: 139 | Name: hanging knee raise | Key: hanging knee raise | Category: Core
ID: 135 | Name: hanging leg raise | Key: hanging leg raise | Category: Core
ID: 148 | Name: hollow body hold | Key: hollow body hold | Category: Core
ID: 140 | Name: knee up | Key: knee up | Category: Core
ID: 137 | Name: leg raise | Key: leg raise | Category: Core
ID: 138 | Name: lying leg raise | Key: lying leg raise | Category: Core
ID: 151 | Name: machine crunch | Key: machine crunch | Category: Core
ID: 143 | Name: medicine ball twist | Key: medicine ball twist | Category: Core
ID: 128 | Name: plank | Key: plank | Category: Core
ID: 131 | Name: plank with reach | Key: plank with reach | Category: Core
ID: 130 | Name: plank with shoulder tap | Key: plank with shoulder tap | Category: Core
ID: 134 | Name: reverse crunch | Key: reverse crunch | Category: Core
ID: 141 | Name: russian twist | Key: russian twist | Category: Core
ID: 129 | Name: side plank | Key: side plank | Category: Core
ID: 133 | Name: sit-up | Key: sit up | Category: Core
ID: 147 | Name: superman | Key: superman | Category: Core
ID: 136 | Name: toes to bar | Key: toes to bar | Category: Core
ID: 144 | Name: wood chop | Key: wood chop | Category: Core
ID: 198 | Name: assault bike | Key: assault bike | Category: CrossFit
ID: 183 | Name: bar muscle up | Key: bar muscle up | Category: CrossFit
ID: 196 | Name: bike erg | Key: bike erg | Category: CrossFit
ID: 155 | Name: box jump | Key: box jump | Category: CrossFit
ID: 177 | Name: burpee | Key: burpee | Category: CrossFit
ID: 178 | Name: burpee box jump | Key: burpee box jump | Category: CrossFit
ID: 179 | Name: burpee pull-up | Key: burpee pull up | Category: CrossFit
ID: 181 | Name: chest to bar | Key: chest to bar | Category: CrossFit
ID: 180 | Name: chest to bar pull-up | Key: chest to bar pull up | Category: CrossFit
ID: 163 | Name: clean | Key: clean | Category: CrossFit
ID: 156 | Name: double under | Key: double under | Category: CrossFit
ID: 186 | Name: handstand push-up | Key: handstand push up | Category: CrossFit
ID: 187 | Name: handstand walk | Key: handstand walk | Category: CrossFit
ID: 165 | Name: hang clean | Key: hang clean | Category: CrossFit
ID: 174 | Name: hang snatch | Key: hang snatch | Category: CrossFit
ID: 168 | Name: jerk | Key: jerk | Category: CrossFit
ID: 161 | Name: kettlebell clean | Key: kettlebell clean | Category: CrossFit
ID: 162 | Name: kettlebell jerk | Key: kettlebell jerk | Category: CrossFit
ID: 160 | Name: kettlebell snatch | Key: kettlebell snatch | Category: CrossFit
ID: 159 | Name: kettlebell swing | Key: kettlebell swing | Category: CrossFit
ID: 190 | Name: knees to elbow | Key: knees to elbow | Category: CrossFit
ID: 195 | Name: meter row | Key: meter row | Category: CrossFit
ID: 182 | Name: muscle up | Key: muscle up | Category: CrossFit
ID: 189 | Name: pistols | Key: pistols | Category: CrossFit
ID: 164 | Name: power clean | Key: power clean | Category: CrossFit
ID: 173 | Name: power snatch | Key: power snatch | Category: CrossFit
ID: 169 | Name: push jerk | Key: push jerk | Category: CrossFit
ID: 184 | Name: ring muscle up | Key: ring muscle up | Category: CrossFit
ID: 191 | Name: rope climb | Key: rope climb | Category: CrossFit
ID: 194 | Name: row erg | Key: row erg | Category: CrossFit
ID: 157 | Name: single under | Key: single under | Category: CrossFit
ID: 197 | Name: ski erg | Key: ski erg | Category: CrossFit
ID: 193 | Name: sled pull | Key: sled pull | Category: CrossFit
ID: 192 | Name: sled push | Key: sled push | Category: CrossFit
ID: 172 | Name: snatch | Key: snatch | Category: CrossFit
ID: 167 | Name: split clean | Key: split clean | Category: CrossFit
ID: 170 | Name: split jerk | Key: split jerk | Category: CrossFit
ID: 176 | Name: split snatch | Key: split snatch | Category: CrossFit
ID: 166 | Name: squat clean | Key: squat clean | Category: CrossFit
ID: 171 | Name: squat jerk | Key: squat jerk | Category: CrossFit
ID: 175 | Name: squat snatch | Key: squat snatch | Category: CrossFit
ID: 185 | Name: strict muscle up | Key: strict muscle up | Category: CrossFit
ID: 153 | Name: thruster | Key: thruster | Category: CrossFit
ID: 158 | Name: triple under | Key: triple under | Category: CrossFit
ID: 154 | Name: wall ball | Key: wall ball | Category: CrossFit
ID: 188 | Name: wall walk | Key: wall walk | Category: CrossFit
ID: 224 | Name: battle rope | Key: battle rope | Category: Full Body
ID: 223 | Name: clean and jerk | Key: clean and jerk | Category: Full Body
ID: 227 | Name: farmers walk | Key: farmers walk | Category: Full Body
ID: 229 | Name: overhead carry | Key: overhead carry | Category: Full Body
ID: 231 | Name: prowler push | Key: prowler push | Category: Full Body
ID: 226 | Name: sledge hammer | Key: sledge hammer | Category: Full Body
ID: 228 | Name: suitcase carry | Key: suitcase carry | Category: Full Body
ID: 225 | Name: tire flip | Key: tire flip | Category: Full Body
ID: 230 | Name: yoke walk | Key: yoke walk | Category: Full Body
ID: 2 | Name: back squat | Key: back squat | Category: Legs
ID: 24 | Name: box squat | Key: box squat | Category: Legs
ID: 13 | Name: bulgarian split squat | Key: bulgarian split squat | Category: Legs
ID: 20 | Name: calf raise | Key: calf raise | Category: Legs
ID: 7 | Name: conventional deadlift | Key: conventional deadlift | Category: Legs
ID: 6 | Name: deadlift | Key: deadlift | Category: Legs
ID: 23 | Name: donkey calf raise | Key: donkey calf raise | Category: Legs
ID: 1 | Name: front squat | Key: front squat | Category: Legs
ID: 28 | Name: glute bridge | Key: glute bridge | Category: Legs
ID: 4 | Name: goblet squat | Key: goblet squat | Category: Legs
ID: 26 | Name: good morning | Key: good morning | Category: Legs
ID: 16 | Name: hack squat | Key: hack squat | Category: Legs
ID: 27 | Name: hip thrust | Key: hip thrust | Category: Legs
ID: 14 | Name: jumping lunge | Key: jumping lunge | Category: Legs
