id,set_group_id,exercise_id,reps,weight_kg,rpe,notes,duration_seconds,distance_meters,load_type,load_value
1,1,1,5,100.0,,,,,,
2,2,1,5,100.0,,,,,,
3,3,1,5,100.0,,,,,,
4,4,1,5,100.0,,,,,,
5,5,2,1,60.0,,,,,,
6,5,2,1,60.0,,,,,,
7,5,3,1,60.0,,,,,,
8,6,2,1,60.0,,,,,,
9,6,2,1,60.0,,,,,,
10,6,3,1,60.0,,,,,,
11,7,2,1,60.0,,,,,,
12,7,2,1,60.0,,,,,,
13,7,3,1,60.0,,,,,,
14,8,2,1,60.0,,,,,,
15,8,2,1,60.0,,,,,,
16,8,3,1,60.0,,,,,,
17,9,2,1,60.0,,,,,,
18,9,2,1,60.0,,,,,,
19,9,3,1,60.0,,,,,,
20,10,1,10,50.0,,,,,,
21,11,2,15,,,,,,,
22,13,1,10,50.0,,,,,,
23,14,2,15,,,,,,,
24,16,1,10,50.0,,,,,,
25,17,2,15,,,,,,,
26,19,1,5,50.0,,,,,,
27,20,2,10,30.0,,,,,,
28,22,1,5,50.0,,,,,,
29,23,2,10,30.0,,,,,,
30,25,3,1,,,,,,,
31,25,3,1,105.0,,,,,,
32,26,4,5,20.0,,,,,,
33,27,4,5,100.0,,,,,,
34,28,4,5,120.0,,,,,,
35,29,55,50,,,,,,,
36,29,41,100,,,,,,,
37,30,55,50,,,,,,,
38,30,41,100,,,,,,,
48,34,5,12,15.0,,,,,,
49,34,5,8,20.0,,,,,,
50,34,5,4,25.0,,,,,,
51,35,5,12,20.0,,,,,,
52,35,5,8,25.0,,,,,,
53,35,5,4,27.5,,,,,,
63,43,6,4,80.0,,,,,,
64,43,157,6,,,,,,,
65,44,6,4,80.0,,,,,,
66,44,157,6,,,,,,,
67,45,6,4,80.0,,,,,,
68,45,157,6,,,,,,,
69,46,6,4,80.0,,,,,,
70,46,157,6,,,,,,,
