id,workout_session_id,order_index,type,pattern_index,completed,shared_weight_kg,rest_seconds
1,1,0,normal,,1,,
2,1,1,normal,,1,,
3,1,2,normal,,1,,
4,1,3,normal,,1,,
5,2,0,complex,,1,,
6,2,1,complex,,1,,
7,2,2,complex,,1,,
8,2,3,complex,,1,,
9,2,4,complex,,1,,
10,3,0,emom,,1,,
11,3,1,emom,,1,,
12,3,2,rest,,1,,
13,3,3,emom,,1,,
14,3,4,emom,,1,,
15,3,5,rest,,1,,
16,3,6,emom,,1,,
17,3,7,emom,,1,,
18,3,8,rest,,1,,
19,4,0,emom,0,1,,
20,4,1,emom,1,1,,
21,4,2,rest,2,1,,
22,4,3,emom,0,1,,
23,4,4,emom,1,1,,
24,4,5,rest,2,1,,
25,5,0,complex,0,1,100.0,
26,6,0,normal,0,1,,
27,6,1,normal,1,1,,
28,6,2,normal,2,0,,
29,7,0,,0,1,,
30,7,1,,0,1,,
34,9,0,,0,1,,
35,9,1,,1,1,,
43,14,0,,0,1,,60
44,14,1,,0,1,,60
45,14,2,,0,1,,60
46,14,3,,0,1,,60
